id,nombres,apellidos,fechaNacimiento,municipio_id_nacimiento,profesion_id,genero_id,fecha_fallecimiento,perfil_educativo,grado_estudio_id,activo,usercreated,usermodifed,created_at,updated_at
1,Gabriel,Acosta Bendek,NA,90,180,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-12 02:08:00
3,Carlos Enrique,Alvarado Chavez,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-01-23 15:45:00
4,Hernan Francisco,Andrade Serrano,1960-05-07,76,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-12 21:45:00
5,Dario,Angarita Medellin,1958-10-20,4,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-18 20:58:00
6,Luis Elmer,Arenas Parra,1953-01-10,109,182,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 02:57:00
7,Ricardo,Arias Mora,1955-01-01,147,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 14:53:00
8,Samuel Benjamin,Arrieta Buelvas,1964-03-15,184,178,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-19 03:44:00
9,Alvaro Antonio,Ashton Giraldo,1956-01-11,5,185,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-11 23:01:00
10,Luis Carlos,Avellaneda Tarazona,1951-06-23,4,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 22:24:00
11,Jorge Eliecer,Ballesteros Bernier,1948-04-11,30,180,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-08 00:07:00
12,Carlos Emiro,Barriga Peñaranda,1957-12-23,166,185,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-06 06:28:00
13,Armando Alberto,Benedetti Villaneda,1962-08-29,5,181,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-18 15:14:00
14,Jesus Antonio,Bernal Amorocho,1952-11-21,82,184,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-17 13:35:00
15,Tulio Cesar,Bernal Bacca,NA,190,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2020-12-29 22:39:00
16,Javier Enrique,Caceres Leal,1958-01-26,101,202,1,NA,NA,12,1,NA,NA,2009-11-25 09:17:00,2021-03-18 21:39:00
17,Jaime Ernesto,Canal Alban,1948-04-10,154,221,1,NA,NA,8,1,NA,NA,2009-11-25 09:17:00,2021-03-17 00:44:00
18,Carlos,Cardenas Ortiz,NA,209,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-14 17:13:00
19,Bernabe,Celis Carrillo,1955-09-19,185,185,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-13 10:11:00
20,Efraín José,Cepeda Sarabia,1950-05-24,5,185,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 20:23:00
21,Arturo,Char Chaljub,1967-11-05,5,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 18:35:00
22,Elsa Gladys,Cifuentes Aranzazu,1963-03-03,48,174,2,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-19 00:10:00
23,Jairo Raul,Clopatofsky Ghisays,1961-10-20,101,175,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-02 11:41:00
24,Cristobal Rufino,Cordoba Mosquera,1958-11-16,212,175,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-19 02:58:00
25,Piedad Esneda,Cordoba Ruiz,1955-01-25,12,174,2,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 18:23:00
26,Marco Alirio,Cortes Torres,1958-09-18,135,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-17 13:48:00
27,Juan Manuel,Corzo Román,1961-10-03,6,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-18 15:01:00
28,Juan Fernando,Cristo Bustos,1964-07-11,6,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-07 16:11:00
29,Parmenio,Cuellar Bastidas,1942-04-06,205,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-11 16:30:00
33,Carlos Eduardo,Enríquez Maya,1948-10-11,142,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 16:16:00
35,Edgar,Espindola Niño,1968-01-01,252,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 06:35:00
36,Ernesto Ramiro,Estacio,NA,152,184,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-05 14:35:00
38,Juan Manuel,Galan Pachon,1972-07-29,4,203,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-17 23:03:00
39,Daira De Jesús,Galvis Méndez,1953-10-04,101,174,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 12:42:00
40,Guillermo,García Realpe,1954-11-17,192,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-18 10:43:00
41,Jesus Ignacio,Garcia Valencia,1951-06-03,8,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-15 13:35:00
42,Roberto Victor,Gerlein Echeverria,1938-11-18,5,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-18 22:36:00
44,Jorge Enrique,Gomez Montealegre,1947-12-19,222,204,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2020-12-19 02:04:00
45,Jacobo Faustino,Gomez Toro,1967-01-01,30,218,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-19 17:12:00
46,Carlos Julio,Gonzalez Villa,1963-02-27,4,197,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-03 10:53:00
47,Antonio Del Cristo,Guerra De La Espriella,1955-12-12,41,185,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-18 23:43:00
48,Jorge Eliécer,Guevara,1955-12-10,298,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 20:58:00
49,Nancy Patricia,Gutierrez Castañeda,1963-10-26,276,174,2,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-12 20:43:00
50,Jorge Aurelio,Iragorri Hormaza,1937-04-28,8,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-18 07:18:00
53,Rodrigo,Lara Restrepo,1975-05-12,2,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-17 00:47:00
55,Cecilia,Lopez Montaño,1943-04-18,5,185,2,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-08 19:41:00
57,Jairo,Mantilla Colmenares,1955-06-29,4,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-28 18:04:00
58,Maria Isabel,Mejia Marulanda,1945-03-16,11,185,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-28 06:54:00
59,Manuel Guillermo,Mora Jaramillo,1964-03-05,6,185,1,NA,NA,3,1,NA,NA,2009-11-25 09:17:00,2021-03-12 00:04:00
60,Alexandra,Moreno Piraquive,1969-08-23,4,174,2,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-12 18:02:00
61,Nestor Ivan,Moreno Rojas,1961-02-08,127,180,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-16 03:25:00
62,Mario Salomon,Nader Muskus,1958-07-22,5,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-26 05:37:00
66,Jorge Hernando,Pedraza Gutierrez,1963-05-18,111,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 05:22:00
74,Juan Carlos,Restrepo Escobar,1969-01-01,4,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-02 03:04:00
75,Griselda Janeth,Restrepo Gallego,1964-06-09,7,174,2,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-18 22:11:00
77,Jorge Enrique,Robledo Castillo,1950-02-11,146,177,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 19:28:00
85,Luis Emilio,Sierra Grajales,1960-11-15,48,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-06 08:51:00
86,Jairo De Jesus,Tapias Ospina,1943-09-10,12,175,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-09 15:06:00
87,Dilian Francisca,Toro Torres,1959-01-07,186,180,2,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-19 15:44:00
88,Efrain,Torrado Garcia,1957-09-07,187,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-16 08:18:00
89,Jorge Antonio,Trujillo Sarmiento,1967-10-06,297,204,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-17 16:39:00
90,Alfonso,Valdivieso Sarmiento,1949-10-02,2,174,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-17 17:18:00
91,Mario Enrique,Varon Olarte,1948-11-08,5,185,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-08 13:22:00
92,Luis Fernando,Velasco Cháves,1964-10-18,8,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-17 21:34:00
93,Manuel Ramiro,Velasquez Arroyave,1951-06-02,178,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-01-29 11:27:00
94,Victor,Velasquez Reyes,NA,107,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-25 03:56:00
95,Jorge Enrique,Velez Garcia,1967-10-07,12,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-11 18:55:00
96,Juan Carlos,Velez Uribe,1965-02-06,12,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-06 14:43:00
97,German,Villegas Villegas,1943-12-03,1,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-16 15:48:00
98,Manuel Antonio,Virgüez Piraquive,1969-05-10,4,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-18 13:36:00
99,Omar,Yepes Alzate,1937-07-25,171,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-09 23:15:00
100,Gabriel Ignacio,Zapata Correa,1951-06-19,12,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 06:47:00
101,Piedad Del Socorro,Zuccardi De Garcia,1952-11-12,41,181,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-16 15:13:00
102,Alonso Rafael,Acosta Osio,NA,5,174,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-16 22:08:00
103,Pedro Antonio,Aguirre Racines,1964-02-02,74,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-10 11:07:00
104,Alvaro,Alferez Tapias,NA,NA,181,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-20 12:05:00
106,Miguel,Amín Escaf,1948-09-05,5,177,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-18 17:15:00
107,Fabio Raúl,Amín Saleme,1976-10-15,44,185,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-15 17:50:00
108,Fabio,Arango Torres,1963-04-05,107,201,1,NA,NA,12,1,NA,NA,2009-11-25 09:17:00,2021-03-17 03:52:00
110,Carlos Enrique,Avila Duran,1962-08-06,383,209,1,NA,NA,12,1,NA,NA,2009-11-25 09:17:00,2021-03-14 04:12:00
111,Liliana,Baron Caballero,NA,50,174,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2020-12-27 10:21:00
112,Roy Leonardo,Barreras Montealegre,1963-11-27,4,180,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-18 15:25:00
113,Luis Felipe,Barrios Barrios,NA,184,182,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-14 11:14:00
114,Eduardo Augusto,Benitez Maldonado,1950-02-02,6,180,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-11 09:39:00
115,Jose Ignacio,Bermudez Sanchez,1956-04-07,239,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-03 04:49:00
116,Musa Abraham,Besaile Fayad,1971-08-28,68,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-16 20:35:00
117,Hernando,Betancourt Hurtado,1963-12-14,195,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-01-10 01:04:00
118,Wilson Alfonso,Borja Diaz,1952-08-29,5,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-18 15:44:00
120,James,Britto Pelaez,NA,201,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-01 14:29:00
121,Dairo Jose,Bustillo Gomez,1958-01-13,184,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-22 08:19:00
122,Angel Custodio,Cabrera Baez,1956-07-19,4,182,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-04 10:41:00
123,Jose Joaquin,Camelo Ramos,1964-03-19,254,203,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-12 00:00:00
125,Jose Thyrone,Carvajal Ceballos,1948-07-26,1,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-15 09:52:00
126,Jorge Eduardo,Casabianca Prada,1957-12-02,200,180,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-12 19:45:00
127,Nancy Denise,Castillo Garcia,1965-05-22,1,182,2,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-07 06:21:00
128,Santiago,Castro Gomez,1965-08-24,1,185,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-14 03:46:00
129,Carlos Augusto,Celis Gutierrez,1954-10-12,6,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-28 23:34:00
130,Jaime,Cervantes Varelo,1957-01-01,204,184,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-11 03:04:00
131,Carlos Ramiro,Chavarro Cuellar,1972-12-29,4,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 13:07:00
133,Juan De Jesus,Cordoba Suarez,1959-02-04,210,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-06 23:40:00
134,Lucero,Cortes Mendez,1964-01-01,4,174,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 11:10:00
135,Nestor Homero,Cotrina,1955-07-20,307,184,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-19 09:28:00
136,Eduardo Alfonso,Crissien Borrero,1963-07-23,5,175,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-25 19:52:00
137,Javier Leonardo,Cubides Vargas,1973-04-23,240,181,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-08 12:25:00
140,Carlos Alberto,Cuenca Chaux,1975-08-06,242,175,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-19 16:30:00
141,Javier Ramiro,Devia Arias,1962-02-02,119,174,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-02-26 11:00:00
